chat_id,neuron_id,weak_label,confidence,dimension
gc-001,EC-06,0.2222222222222222,0.5555555555555556,EC
gc-001,EC-07,0.0,1.0,EC
gc-001,EC-09,0.7777777777777778,0.5555555555555556,EC
gc-001,PR-02,0.0,1.0,PR
gc-001,PR-05,0.8888888888888888,0.7777777777777777,PR
gc-001,PR-07,0.44688995215311006,0.10622009569377988,PR
gc-001,PR-14,0.8888888888888888,0.7777777777777777,PR
gc-001,AL-08,0.0,1.0,AL
gc-001,ES-01,0.6666666666666666,0.33333333333333326,ES
gc-002,EC-06,0.058823529411764705,0.8823529411764706,EC
gc-002,EC-07,0.36363636363636365,0.2727272727272727,EC
gc-002,EC-09,0.9411764705882353,0.8823529411764706,EC
gc-002,PR-02,0.0,1.0,PR
gc-002,PR-05,0.8823529411764706,0.7647058823529411,PR
gc-002,PR-07,0.3006789524733269,0.39864209505334625,PR
gc-002,PR-14,0.9411764705882353,0.8823529411764706,PR
gc-002,AL-08,0.47058823529411764,0.05882352941176472,AL
gc-002,ES-01,0.35294117647058826,0.2941176470588235,ES
gc-003,EC-06,0.0,1.0,EC
gc-003,EC-07,0.16666666666666666,0.6666666666666667,EC
gc-003,EC-09,0.7450980392156863,0.4901960784313726,EC
gc-003,PR-02,0.057692307692307696,0.8846153846153846,PR
gc-003,PR-05,0.46153846153846156,0.07692307692307687,PR
gc-003,PR-07,0.37100213219616207,0.25799573560767586,PR
gc-003,PR-14,0.8823529411764706,0.7647058823529411,PR
gc-003,AL-08,0.038461538461538464,0.9230769230769231,AL
gc-003,ES-01,0.019230769230769232,0.9615384615384616,ES
gc-004,EC-06,0.00558659217877095,0.9888268156424581,EC
gc-004,EC-07,0.028985507246376812,0.9420289855072463,EC
gc-004,EC-09,0.994413407821229,0.988826815642458,EC
gc-004,PR-02,0.0,1.0,PR
gc-004,PR-05,0.329608938547486,0.34078212290502796,PR
gc-004,PR-07,0.3325236822929317,0.33495263541413656,PR
gc-004,PR-14,0.994413407821229,0.988826815642458,PR
gc-004,AL-08,0.0223463687150838,0.9553072625698324,AL
gc-004,ES-01,0.07262569832402235,0.8547486033519553,ES
gc-005,EC-06,0.0,1.0,EC
gc-005,EC-07,0.3,0.4,EC
gc-005,EC-09,0.875,0.75,EC
gc-005,PR-02,0.125,0.75,PR
gc-005,PR-05,0.625,0.25,PR
gc-005,PR-07,0.36027397260273974,0.2794520547945205,PR
gc-005,PR-14,0.875,0.75,PR
gc-005,AL-08,0.125,0.75,AL
gc-005,ES-01,0.0,1.0,ES
gc-006,EC-06,0.04,0.92,EC
gc-006,EC-07,0.7142857142857143,0.4285714285714286,EC
gc-006,EC-09,0.9216,0.8432,EC
gc-006,PR-02,0.08,0.84,PR
